annee,semaine,mois,date_debut,date_fin,poids,variation_pct,commentaire,unite,prix,variation,source
2023,1,,2023-01-02,2023-01-08,8 à 11 kg,,,EUR/kg vif,3.76,,COT-VRO-caprins-A23-S01.csv
2023,2,,2023-01-09,2023-01-15,8 à 11 kg,1.05,,EUR/kg vif,3.8,0.04,COT-VRO-caprins-A23-S02.csv
2023,3,,2023-01-16,2023-01-22,8 à 11 kg,0,,EUR/kg vif,3.8,0,COT-VRO-caprins-A23-S03.csv
2023,4,,2023-01-23,2023-01-29,8 à 11 kg,0,VOLUME TRÈS FAIBLE.,EUR/kg vif,3.8,0,COT-VRO-caprins-A23-S04.csv
2023,5,,2023-01-30,2023-02-05,8 à 11 kg,0,RECONDUCTION.,EUR/kg vif,3.8,0,COT-VRO-caprins-A23-S05.csv
2023,6,,2023-02-06,2023-02-12,8 à 11 kg,-3.26,"RECONDUCTION DE LA COTATION, VOLUME A LA HAUSSE.",EUR/kg vif,3.68,-0.12,COT-VRO-caprins-A23-S06.csv
2023,7,,2023-02-13,2023-02-19,8 à 11 kg,0,"VOLUME A LA HAUSSE, MARCHÉ DE CONGELATION.",EUR/kg vif,3.68,0,COT-VRO-caprins-A23-S07.csv
2023,8,,2023-02-20,2023-02-26,8 à 11 kg,0,"VOLUME À LA HAUSSE, MARCHÉ DE CONGELATION.",EUR/kg vif,3.68,0,COT-VRO-caprins-A23-S08.csv
2023,9,,2023-02-27,2023-03-05,8 à 11 kg,0,"RECONDUCTION DE LA COTATION, MARCHÉ DE CONGELATION.",EUR/kg vif,3.68,0,COT-VRO-caprins-A23-S09.csv
2023,10,,2023-03-06,2023-03-12,8 à 11 kg,0,RECONDUCTION DE LA COTATION. QUANTITÉ EN HAUSSE. VOLUME IMPORTANT. CONGÉLATION.,EUR/kg vif,3.68,0,COT-VRO-caprins-A23-S10.csv
2023,11,,2023-03-13,2023-03-19,8 à 11 kg,0,"RECONDUCTION DE LA COTATION - VOLUME IMPORTANT, MARCHÉ DE CONGELATION. QUANTITÉ EN HAUSSE.",EUR/kg vif,3.68,0,COT-VRO-caprins-A23-S11.csv
2023,12,,2023-03-20,2023-03-26,8 à 11 kg,0,"RECONDUCTION DES COURS, VOLUME IMPORTANT. MARCHÉ DE CONGELATION.",EUR/kg vif,3.68,0,COT-VRO-caprins-A23-S12.csv
2023,13,,2023-03-27,2023-04-02,8 à 11 kg,5.64,AUGMENTATION POUR LES FÊTES DE PAQUES.,EUR/kg vif,3.9,0.22,COT-VRO-caprins-A23-S13.csv
2023,14,,2023-04-03,2023-04-09,8 à 11 kg,0,RECONDUCTION DES COURS.,EUR/kg vif,3.9,0,COT-VRO-caprins-A23-S14.csv
2023,15,,2023-04-10,2023-04-16,8 à 11 kg,-12.07,,EUR/kg vif,3.48,-0.42,COT-VRO-caprins-A23-S15.csv
2023,16,,2023-04-17,2023-04-23,8 à 11 kg,0,,EUR/kg vif,3.48,0,COT-VRO-caprins-A23-S16.csv
2023,17,,2023-04-24,2023-04-30,8 à 11 kg,0,VOLUME IMPORTANT. MARCHÉ DE CONGÉLATION.,EUR/kg vif,3.48,0,COT-VRO-caprins-A23-S17.csv
2023,18,,2023-05-01,2023-05-07,8 à 11 kg,0,RECONDUCTION DES COURS.,EUR/kg vif,3.48,0,COT-VRO-caprins-A23-S18.csv
2023,19,,2023-05-08,2023-05-14,8 à 11 kg,0,RECONDUCTION DE LA COTATION.,EUR/kg vif,3.48,0,COT-VRO-caprins-A23-S19.csv
2023,20,,2023-05-15,2023-05-21,8 à 11 kg,0,RECONDUCTION DE LA COTATION.,EUR/kg vif,3.48,0,COT-VRO-caprins-A23-S20.csv
2023,21,,2023-05-22,2023-05-28,8 à 11 kg,0,,EUR/kg vif,3.48,0,COT-VRO-caprins-A23-S21.csv
2023,22,,2023-05-29,2023-06-04,8 à 11 kg,0,"RECONDUCTION DE LA COTATION, MARCHÉ DE CONGELATION.",EUR/kg vif,3.48,0,COT-VRO-caprins-A23-S22.csv
2023,23,,2023-06-05,2023-06-11,8 à 11 kg,0,"DERNIERS ABATTAGES DE LA SAISON, REPRISE DES ABATTAGES EN SEPTEMBRE.",EUR/kg vif,3.48,0,COT-VRO-caprins-A23-S23.csv
2023,38,,2023-09-18,2023-09-24,8 à 11 kg,,"REPRISE DES ABATTAGES, QUANTITÉS TRÈS FAIBLES.",EUR/kg vif,3.5,,COT-VRO-caprins-A23-S38.csv
2023,39,,2023-09-25,2023-10-01,8 à 11 kg,0,QUANTITÉS FAIBLES. VOLUME FAIBLE.,EUR/kg vif,3.5,0,COT-VRO-caprins-A23-S39.csv
2023,40,,2023-10-02,2023-10-08,8 à 11 kg,0,"RECONDUCTION DE LA COTATION, VOLUME EN LÉGÈRE HAUSSE. QUANTITÉS FAIBLES.",EUR/kg vif,3.5,0,COT-VRO-caprins-A23-S40.csv
2023,41,,2023-10-09,2023-10-15,8 à 11 kg,0.57,QUANTITÉS FAIBLES.,EUR/kg vif,3.52,0.02,COT-VRO-caprins-A23-S41.csv
2023,42,,2023-10-16,2023-10-22,8 à 11 kg,-0.57,QUANTITÉS FAIBLES,EUR/kg vif,3.5,-0.02,COT-VRO-caprins-A23-S42.csv
2023,43,,2023-10-23,2023-10-29,8 à 11 kg,0,"QUANTITÉS FAIBLES, RECONDUCTION DE LA COTATION.",EUR/kg vif,3.5,0,COT-VRO-caprins-A23-S43.csv
2023,44,,2023-10-30,2023-11-05,8 à 11 kg,0,"RECONDUCTION DE LA COTATION, VOLUME FAIBLE.",EUR/kg vif,3.5,0,COT-VRO-caprins-A23-S44.csv
2023,45,,2023-11-06,2023-11-12,8 à 11 kg,0,RECONDUCTION DE LA COTATION.,EUR/kg vif,3.5,0,COT-VRO-caprins-A23-S45.csv
2023,46,,2023-11-13,2023-11-19,8 à 11 kg,0,RECONDUCTION DE LA COTATION.,EUR/kg vif,3.5,0,COT-VRO-caprins-A23-S46.csv
2023,47,,2023-11-20,2023-11-26,8 à 11 kg,0,RECONDUCTION DES COURS.,EUR/kg vif,3.5,0,COT-VRO-caprins-A23-S47.csv
2023,48,,2023-11-27,2023-12-03,8 à 11 kg,18.22,UNE HAUSSE DU TARIF À L'APPROCHE DES FÊTES. AUGMENTATION DE LA COTATION.,EUR/kg vif,4.28,0.78,COT-VRO-caprins-A23-S48.csv
2023,49,,2023-12-04,2023-12-10,8 à 11 kg,7.56,COTATION EN HAUSSE POUR LES FÊTES DE NOËL.,EUR/kg vif,4.63,0.35,COT-VRO-caprins-A23-S49.csv
2023,50,,2023-12-11,2023-12-17,8 à 11 kg,0,RECONDUCTION DES COURS.,EUR/kg vif,4.63,0,COT-VRO-caprins-A23-S50.csv
2023,51,,2023-12-18,2023-12-24,8 à 11 kg,0,RECONDUCTION DE LA COTATION.,EUR/kg vif,4.63,0,COT-VRO-caprins-A23-S51.csv
2023,52,,2023-12-25,2023-12-31,8 à 11 kg,-7.18,,EUR/kg vif,4.32,-0.31,COT-VRO-caprins-A23-S52.csv
2024,1,,2024-01-01,2024-01-07,8 à 11 kg,-20,TRÉS PEU DE VOLUME APRÈS LES FÊTES.,EUR/kg vif,3.6,-0.72,COT-VRO-caprins-A24-S01.csv
2024,2,,2024-01-08,2024-01-14,8 à 11 kg,1.1,PEU DE VOLUME.,EUR/kg vif,3.64,0.04,COT-VRO-caprins-A24-S02.csv
2024,3,,2024-01-15,2024-01-21,8 à 11 kg,-1.11,LOEUL ET PIRIOT : FAIBLES QUANTITÉS. ETABLISSEMENT RIBOT : RECONDUCTION DE LA COTATION.,EUR/kg vif,3.6,-0.04,COT-VRO-caprins-A24-S03.csv
2024,4,,2024-01-22,2024-01-28,8 à 11 kg,0,"RECONDUCTION DE LA COTATION, VOLUME TRÈS FAIBLE.",EUR/kg vif,3.6,0,COT-VRO-caprins-A24-S04.csv
2024,5,,2024-01-29,2024-02-04,8 à 11 kg,0,RECONDUCTION DE LA COTATION.,EUR/kg vif,3.6,0,COT-VRO-caprins-A24-S05.csv
2024,6,,2024-02-05,2024-02-11,8 à 11 kg,-3.45,QUANTITÉS EN AUGMENTATION. VOLUME TOUJOURS FAIBLE.,EUR/kg vif,3.48,-0.12,COT-VRO-caprins-A24-S06.csv
2024,7,,2024-02-12,2024-02-18,8 à 11 kg,0,QUANTITES EN AUGMENTATION. RECONDUCTION DE LA COTATION.;,EUR/kg vif,3.48,0,COT-VRO-caprins-A24-S07.csv
2024,8,,2024-02-19,2024-02-25,8 à 11 kg,0,"RECONDUCTION DE LA COTATION, VOLUME EN AUGMENTATION.",EUR/kg vif,3.48,0,COT-VRO-caprins-A24-S08.csv
2024,9,,2024-02-26,2024-03-03,8 à 11 kg,0,RECONDUCTION DE LA COTATION. QUANTITES EN AUGMENTATION.;,EUR/kg vif,3.48,0,COT-VRO-caprins-A24-S09.csv
2024,10,,2024-03-04,2024-03-10,8 à 11 kg,0,"RECONDUCTION DE LA COTATION, VOLUME EN AUGMENTATION.",EUR/kg vif,3.48,0,COT-VRO-caprins-A24-S10.csv
2024,11,,2024-03-11,2024-03-17,8 à 11 kg,1.14,AUGMENTATION DE LA COTATION. QUANTITES EN AUGMENTATION.;,EUR/kg vif,3.52,0.04,COT-VRO-caprins-A24-S11.csv
