annee,semaine,mois,date_debut,date_fin,qualite,categorie,type,classe,unite,prix,variation,source
2023,1,,2023-01-02,2023-01-08,Standard,Jeunes bovins 8 à 24 mois,Viande Mixte Lait,E,EUR/kg net,5.67,,COT-VRO-GBST_nationale-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Standard,Jeunes bovins 12 à 24 mois,Viande hors Bl/Parth.,U+,EUR/kg net,5.53,0.01,COT-VRO-GBST_nationale-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Standard,Jeunes bovins 12 à 24 mois,Blonde/Parth.,U+,EUR/kg net,5.68,-0.01,COT-VRO-GBST_nationale-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Standard,Jeunes bovins 8 à 24 mois,Viande Mixte Lait,U=,EUR/kg net,5.51,0.01,COT-VRO-GBST_nationale-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Standard,Jeunes bovins 12 à 24 mois,Viande hors Bl/Parth.,U=,EUR/kg net,5.5,0,COT-VRO-GBST_nationale-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Standard,Jeunes bovins 12 à 24 mois,Blonde/Parth.,U=,EUR/kg net,5.64,-0.01,COT-VRO-GBST_nationale-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Standard,Taureaux,VML,U=,EUR/kg net,4.67,0,COT-VRO-GBST_nationale-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Standard,Vaches,"Viande tous poids, toutes races",U=,EUR/kg net,5.69,0,COT-VRO-GBST_nationale-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Standard,Vaches,Viande hors Bl/Parth. -10 a +350kg,U=,EUR/kg net,5.67,-0.06,COT-VRO-GBST_nationale-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Standard,Vaches,Blonde/Parth. -10 ans +350Kg,U=,EUR/kg net,6.07,-0.01,COT-VRO-GBST_nationale-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Standard,Vaches,Charolaise -10 ans +350Kg,U=,EUR/kg net,5.55,,COT-VRO-GBST_nationale-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Standard,Vaches,Limousine -10 ans +350Kg,U=,EUR/kg net,5.79,,COT-VRO-GBST_nationale-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Standard,Génisses,Viande Mixte Lait,U=,EUR/kg net,5.71,-0.01,COT-VRO-GBST_nationale-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Standard,Génisses,Viande +350Kg,U=,EUR/kg net,5.8,-0.03,COT-VRO-GBST_nationale-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Standard,Jeunes bovins 12 à 24 mois,Viande hors Bl/Parth.,U-,EUR/kg net,5.47,0.01,COT-VRO-GBST_nationale-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Standard,Jeunes bovins 12 à 24 mois,Blonde/Parth.,U-,EUR/kg net,5.59,-0.01,COT-VRO-GBST_nationale-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Standard,Vaches,Viande hors Bl/Parth. -10 a +350kg,U-,EUR/kg net,5.56,0,COT-VRO-GBST_nationale-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Standard,Vaches,Blonde/Parth. -10 ans +350Kg,U-,EUR/kg net,5.81,0.06,COT-VRO-GBST_nationale-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Standard,Vaches,Charolaise -10 ans +350Kg,U-,EUR/kg net,5.47,-0.01,COT-VRO-GBST_nationale-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Standard,Vaches,Limousine -10 ans +350Kg,U-,EUR/kg net,5.72,0.02,COT-VRO-GBST_nationale-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Standard,Génisses,Viande +350Kg,U-,EUR/kg net,5.64,-0.01,COT-VRO-GBST_nationale-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Standard,Jeunes bovins 12 à 24 mois,Viande hors Bl/Parth.,R+,EUR/kg net,5.43,0.01,COT-VRO-GBST_nationale-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Standard,Boeufs,Viande,R+,EUR/kg net,5.45,,COT-VRO-GBST_nationale-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Standard,Vaches,Viande hors Bl/Parth. -10 a +350kg,R+,EUR/kg net,5.46,0,COT-VRO-GBST_nationale-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Standard,Vaches,Blonde/Parth. -10 ans +350Kg,R+,EUR/kg net,5.62,0.03,COT-VRO-GBST_nationale-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Standard,Vaches,Charolaise -10 ans +350Kg,R+,EUR/kg net,5.43,0,COT-VRO-GBST_nationale-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Standard,Vaches,Limousine -10 ans +350Kg,R+,EUR/kg net,5.57,0.01,COT-VRO-GBST_nationale-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Standard,Génisses,Viande +350Kg,R+,EUR/kg net,5.52,0,COT-VRO-GBST_nationale-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Standard,Jeunes bovins 8 à 24 mois,Viande Mixte Lait,R=,EUR/kg net,5.37,0.01,COT-VRO-GBST_nationale-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Standard,Jeunes bovins 12 à 24 mois,Viande hors Bl/Parth.,R=,EUR/kg net,5.35,0,COT-VRO-GBST_nationale-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Standard,Taureaux,VML,R=,EUR/kg net,4.61,0,COT-VRO-GBST_nationale-A23-S01.csv
