annee,semaine,mois,date_debut,date_fin,marche,race,sexe,age_mois,classe,poids_kg,unite,prix,variation,source
2023,1,,2023-01-02,2023-01-08,LIMOGES,Limousins,Mâle,6/12,U,250,EUR/kg vif,3.45,,COT-VRO-GB_maigres-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,LIMOGES,Limousins,Mâle,6/12,U,300,EUR/kg vif,3.54,,COT-VRO-GB_maigres-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,LIMOGES,Limousins,Mâle,6/12,U,350,EUR/kg vif,3.5,,COT-VRO-GB_maigres-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,LIMOGES,Limousins,Femelle,6/12,U,270,EUR/kg vif,3.15,,COT-VRO-GB_maigres-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,LIMOGES,Limousins,Mâle,6/12,R,250,EUR/kg vif,3.16,,COT-VRO-GB_maigres-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,LIMOGES,Limousins,Mâle,6/12,R,300,EUR/kg vif,3.17,,COT-VRO-GB_maigres-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,LIMOGES,Limousins,Mâle,6/12,R,350,EUR/kg vif,3.21,,COT-VRO-GB_maigres-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,LIMOGES,Limousins,Femelle,6/12,R,270,EUR/kg vif,2.9,,COT-VRO-GB_maigres-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,CLERMONT-FERRAND,Croises,Mâle,6/12,U,300,EUR/kg vif,3.23,,COT-VRO-GB_maigres-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,CLERMONT-FERRAND,Croises,Mâle,6/12,U,350,EUR/kg vif,3.31,,COT-VRO-GB_maigres-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,CLERMONT-FERRAND,Croises,Mâle,6/12,U,400,EUR/kg vif,3.36,,COT-VRO-GB_maigres-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,CLERMONT-FERRAND,Croises,Femelle,6/12,U,320,EUR/kg vif,2.93,,COT-VRO-GB_maigres-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,CLERMONT-FERRAND,Aubrac/Gascons,Mâle,6/12,U,300,EUR/kg vif,3.26,,COT-VRO-GB_maigres-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,CLERMONT-FERRAND,Aubrac/Gascons,Mâle,6/12,U,350,EUR/kg vif,3.31,,COT-VRO-GB_maigres-A23-S01.csv
