annee,semaine,mois,date_debut,date_fin,marche,tendance,source
2023,1,,2023-01-02,2023-01-08,LIMOGES,COURS RECONDUITS.,COT-VRO-GB_maigres-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,CLERMONT-FERRAND,"PEU DE TRANSACTION POUR CETTE SEMAINE DE REPRISE APRÈS LES FÊTES, COURS DANS L'ENSEMBLE RECONDUITS.",COT-VRO-GB_maigres-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,DIJON,SEMAINE DE REPRISE APRÈS NOËL. COURS RECONDUITS.,COT-VRO-GB_maigres-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,TOULOUSE,COURS RECONDUITS.,COT-VRO-GB_maigres-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,NANTES,COURS RECONDUITS POUR INFORMATION.,COT-VRO-GB_maigres-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,NANCY,,COT-VRO-GB_maigres-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,MOYENNE NATIONALE,,COT-VRO-GB_maigres-A23-S01.csv
2023,2,,2023-01-09,2023-01-15,LIMOGES,BONNE DEMANDE.,COT-VRO-GB_maigres-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,CLERMONT-FERRAND,LE MARCHÉ TARDE À REPRENDRE DE LA VIGUEUR APRÈS LES FÊTES.,COT-VRO-GB_maigres-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,DIJON,"REPRISE D'ACTIVITÉ, COURS FACILEMENT RECONDUITS.",COT-VRO-GB_maigres-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,TOULOUSE,"REPRISE DE L'EXPORT, LÉGER TASSEMENT DES COURS EN LIMOUSINS.",COT-VRO-GB_maigres-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,NANTES,"L'ACTIVITÉ REDÉMARRE, LA BONNE MARCHANDISE EST PRIVILÉGIÉE.",COT-VRO-GB_maigres-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,NANCY,,COT-VRO-GB_maigres-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,MOYENNE NATIONALE,,COT-VRO-GB_maigres-A23-S02.csv
2023,3,,2023-01-16,2023-01-22,LIMOGES,"MARCHÉ TOUJOURS PORTEUR, LÉGÈRE HAUSSE.",COT-VRO-GB_maigres-A23-S03.csv
2023,3,,2023-01-16,2023-01-22,CLERMONT-FERRAND,LÉGÈRE REPRISE EN MÂLES. COURS TRÈS DIFFICILEMENT RECONDUITS EN FEMELLES.,COT-VRO-GB_maigres-A23-S03.csv
