annee,semaine,mois,date_debut,date_fin,espece,etat_engraissement,conformation,zone,poids,unite,prix,variation,source
2023,1,,2023-01-02,2023-01-08,Agneaux,2 (ciré),U,Zone Nord,16 a 19 kg,EUR/kg carcasse,9.05,-0.19,COT-VRO-ovins_synthese-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Agneaux,2 (ciré),U,Zone Nord,19 a 22 kg,EUR/kg carcasse,9.28,0.13,COT-VRO-ovins_synthese-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Agneaux,2 (ciré),U,Moyennes Regions,16 a 19 kg,EUR/kg carcasse,9.05,-0.19,COT-VRO-ovins_synthese-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Agneaux,2 (ciré),U,Moyennes Regions,19 a 22 kg,EUR/kg carcasse,9.28,0.13,COT-VRO-ovins_synthese-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Agneaux,2 (ciré),R,Zone Nord,13 a 16 kg,EUR/kg carcasse,8.36,-0.09,COT-VRO-ovins_synthese-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Agneaux,2 (ciré),R,Zone Nord,16 a 19 kg,EUR/kg carcasse,8.66,-0.03,COT-VRO-ovins_synthese-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Agneaux,2 (ciré),R,Zone Nord,19 a 22 kg,EUR/kg carcasse,8.88,0.22,COT-VRO-ovins_synthese-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Agneaux,2 (ciré),R,Zone Sud,13 a 16 kg,EUR/kg carcasse,8.67,0.07,COT-VRO-ovins_synthese-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Agneaux,2 (ciré),R,Zone Sud,16 a 19 kg,EUR/kg carcasse,8.59,0.06,COT-VRO-ovins_synthese-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Agneaux,2 (ciré),R,Moyennes Regions,13 a 16 kg,EUR/kg carcasse,8.49,-0.01,COT-VRO-ovins_synthese-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Agneaux,2 (ciré),R,Moyennes Regions,16 a 19 kg,EUR/kg carcasse,8.63,-0.01,COT-VRO-ovins_synthese-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Agneaux,2 (ciré),R,Moyennes Regions,19 a 22 kg,EUR/kg carcasse,8.79,0.15,COT-VRO-ovins_synthese-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Agneaux,2 (ciré),O,Moyennes Regions,13 a 16 kg,EUR/kg carcasse,8.08,0.53,COT-VRO-ovins_synthese-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Agneaux,3 (couvert),U,Zone Nord,16 a 19 kg,EUR/kg carcasse,8.9,-0.14,COT-VRO-ovins_synthese-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Agneaux,3 (couvert),U,Zone Nord,19 a 22 kg,EUR/kg carcasse,8.83,-0.14,COT-VRO-ovins_synthese-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Agneaux,3 (couvert),U,Zone Nord,+ de 22 kg,EUR/kg carcasse,7.78,0.05,COT-VRO-ovins_synthese-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Agneaux,3 (couvert),U,Moyennes Regions,16 a 19 kg,EUR/kg carcasse,8.9,-0.14,COT-VRO-ovins_synthese-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Agneaux,3 (couvert),U,Moyennes Regions,19 a 22 kg,EUR/kg carcasse,8.81,-0.14,COT-VRO-ovins_synthese-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Agneaux,3 (couvert),U,Moyennes Regions,+ de 22 kg,EUR/kg carcasse,7.79,0.05,COT-VRO-ovins_synthese-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Agneaux,3 (couvert),R,Zone Nord,13 a 16 kg,EUR/kg carcasse,8.46,-0.04,COT-VRO-ovins_synthese-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Agneaux,3 (couvert),R,Zone Nord,16 a 19 kg,EUR/kg carcasse,8.54,-0.09,COT-VRO-ovins_synthese-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Agneaux,3 (couvert),R,Zone Nord,19 a 22 kg,EUR/kg carcasse,8.55,-0.07,COT-VRO-ovins_synthese-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Agneaux,3 (couvert),R,Zone Nord,+ de 22 kg,EUR/kg carcasse,7.92,-0.03,COT-VRO-ovins_synthese-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Agneaux,3 (couvert),R,Zone Sud,13 a 16 kg,EUR/kg carcasse,8.68,-0.15,COT-VRO-ovins_synthese-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Agneaux,3 (couvert),R,Zone Sud,16 a 19 kg,EUR/kg carcasse,8.58,-0.11,COT-VRO-ovins_synthese-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Agneaux,3 (couvert),R,Zone Sud,19 a 22 kg,EUR/kg carcasse,8.26,-0.13,COT-VRO-ovins_synthese-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Agneaux,3 (couvert),R,Moyennes Regions,13 a 16 kg,EUR/kg carcasse,8.64,-0.11,COT-VRO-ovins_synthese-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Agneaux,3 (couvert),R,Moyennes Regions,16 a 19 kg,EUR/kg carcasse,8.57,-0.1,COT-VRO-ovins_synthese-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Agneaux,3 (couvert),R,Moyennes Regions,19 a 22 kg,EUR/kg carcasse,8.36,-0.12,COT-VRO-ovins_synthese-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Agneaux,3 (couvert),R,Moyennes Regions,+ de 22 kg,EUR/kg carcasse,7.83,-0.06,COT-VRO-ovins_synthese-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Agneaux,3 (couvert),O,Zone Nord,16 a 19 kg,EUR/kg carcasse,8.36,-0.18,COT-VRO-ovins_synthese-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Agneaux,3 (couvert),O,Zone Nord,19 a 22 kg,EUR/kg carcasse,8.43,-0.18,COT-VRO-ovins_synthese-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Agneaux,3 (couvert),O,Zone Sud,13 a 16 kg,EUR/kg carcasse,8.24,-0.25,COT-VRO-ovins_synthese-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Agneaux,3 (couvert),O,Zone Sud,16 a 19 kg,EUR/kg carcasse,8,-0.22,COT-VRO-ovins_synthese-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Agneaux,3 (couvert),O,Zone Sud,19 a 22 kg,EUR/kg carcasse,7.85,-0.31,COT-VRO-ovins_synthese-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Agneaux,3 (couvert),O,Moyennes Regions,13 a 16 kg,EUR/kg carcasse,8.25,-0.22,COT-VRO-ovins_synthese-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Agneaux,3 (couvert),O,Moyennes Regions,16 a 19 kg,EUR/kg carcasse,8.1,-0.27,COT-VRO-ovins_synthese-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Agneaux,3 (couvert),O,Moyennes Regions,19 a 22 kg,EUR/kg carcasse,8.03,-0.44,COT-VRO-ovins_synthese-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Agneaux,4 (gras),R,Zone Sud,16 a 19 kg,EUR/kg carcasse,8.04,-0.21,COT-VRO-ovins_synthese-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Agneaux,4 (gras),R,Moyennes Regions,16 a 19 kg,EUR/kg carcasse,7.97,-0.24,COT-VRO-ovins_synthese-A23-S01.csv
2023,2,,2023-01-09,2023-01-15,Agneaux,2 (ciré),U,Zone Nord,16 a 19 kg,EUR/kg carcasse,9.19,0.14,COT-VRO-ovins_synthese-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Agneaux,2 (ciré),U,Zone Nord,19 a 22 kg,EUR/kg carcasse,9.1,-0.18,COT-VRO-ovins_synthese-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Agneaux,2 (ciré),U,Moyennes Regions,16 a 19 kg,EUR/kg carcasse,9.19,0.14,COT-VRO-ovins_synthese-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Agneaux,2 (ciré),U,Moyennes Regions,19 a 22 kg,EUR/kg carcasse,9.1,-0.18,COT-VRO-ovins_synthese-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Agneaux,2 (ciré),R,Zone Nord,13 a 16 kg,EUR/kg carcasse,8.32,-0.04,COT-VRO-ovins_synthese-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Agneaux,2 (ciré),R,Zone Nord,16 a 19 kg,EUR/kg carcasse,8.62,-0.04,COT-VRO-ovins_synthese-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Agneaux,2 (ciré),R,Zone Nord,19 a 22 kg,EUR/kg carcasse,8.56,-0.32,COT-VRO-ovins_synthese-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Agneaux,2 (ciré),R,Zone Sud,13 a 16 kg,EUR/kg carcasse,8.42,-0.25,COT-VRO-ovins_synthese-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Agneaux,2 (ciré),R,Zone Sud,16 a 19 kg,EUR/kg carcasse,8.45,-0.14,COT-VRO-ovins_synthese-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Agneaux,2 (ciré),R,Moyennes Regions,13 a 16 kg,EUR/kg carcasse,8.36,-0.13,COT-VRO-ovins_synthese-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Agneaux,2 (ciré),R,Moyennes Regions,16 a 19 kg,EUR/kg carcasse,8.57,-0.06,COT-VRO-ovins_synthese-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Agneaux,2 (ciré),R,Moyennes Regions,19 a 22 kg,EUR/kg carcasse,8.52,-0.27,COT-VRO-ovins_synthese-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Agneaux,2 (ciré),O,Moyennes Regions,13 a 16 kg,EUR/kg carcasse,7.6,-0.48,COT-VRO-ovins_synthese-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Agneaux,2 (ciré),O,Moyennes Regions,16 a 19 kg,EUR/kg carcasse,7.55,,COT-VRO-ovins_synthese-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Agneaux,3 (couvert),U,Zone Nord,16 a 19 kg,EUR/kg carcasse,8.8,-0.1,COT-VRO-ovins_synthese-A23-S02.csv
