annee,semaine,mois,date_debut,date_fin,categorie,prix,variation,unite,source
2023,1,,2023-01-02,2023-01-08,P.M.P AGNEAUX,8.43,-0.13,EUR/kg carcasse,COT-VRO-ovins_PMP-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,MOYENNE AGNEAUX METROPOLE RUNGIS,8.43,0.03,EUR/kg carcasse,COT-VRO-ovins_PMP-A23-S01.csv
2023,2,,2023-01-09,2023-01-15,P.M.P AGNEAUX,8.28,-0.15,EUR/kg carcasse,COT-VRO-ovins_PMP-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,MOYENNE AGNEAUX METROPOLE RUNGIS,8.39,-0.04,EUR/kg carcasse,COT-VRO-ovins_PMP-A23-S02.csv
2023,3,,2023-01-16,2023-01-22,P.M.P AGNEAUX,8.22,-0.06,EUR/kg carcasse,COT-VRO-ovins_PMP-A23-S03.csv
2023,3,,2023-01-16,2023-01-22,MOYENNE AGNEAUX METROPOLE RUNGIS,8.33,-0.06,EUR/kg carcasse,COT-VRO-ovins_PMP-A23-S03.csv
2023,4,,2023-01-23,2023-01-29,P.M.P AGNEAUX,8.12,-0.1,EUR/kg carcasse,COT-VRO-ovins_PMP-A23-S04.csv
2023,4,,2023-01-23,2023-01-29,MOYENNE AGNEAUX METROPOLE RUNGIS,8.31,-0.02,EUR/kg carcasse,COT-VRO-ovins_PMP-A23-S04.csv
2023,5,,2023-01-30,2023-02-05,P.M.P AGNEAUX,8.03,-0.09,EUR/kg carcasse,COT-VRO-ovins_PMP-A23-S05.csv
2023,5,,2023-01-30,2023-02-05,MOYENNE AGNEAUX METROPOLE RUNGIS,8.28,-0.03,EUR/kg carcasse,COT-VRO-ovins_PMP-A23-S05.csv
2023,6,,2023-02-06,2023-02-12,P.M.P AGNEAUX,7.97,-0.06,EUR/kg carcasse,COT-VRO-ovins_PMP-A23-S06.csv
2023,6,,2023-02-06,2023-02-12,MOYENNE AGNEAUX METROPOLE RUNGIS,8.28,0,EUR/kg carcasse,COT-VRO-ovins_PMP-A23-S06.csv
2023,7,,2023-02-13,2023-02-19,P.M.P AGNEAUX,7.86,-0.11,EUR/kg carcasse,COT-VRO-ovins_PMP-A23-S07.csv
2023,7,,2023-02-13,2023-02-19,MOYENNE AGNEAUX METROPOLE RUNGIS,8.28,0,EUR/kg carcasse,COT-VRO-ovins_PMP-A23-S07.csv
2023,8,,2023-02-20,2023-02-26,P.M.P AGNEAUX,7.83,-0.03,EUR/kg carcasse,COT-VRO-ovins_PMP-A23-S08.csv
2023,8,,2023-02-20,2023-02-26,MOYENNE AGNEAUX METROPOLE RUNGIS,8.28,0,EUR/kg carcasse,COT-VRO-ovins_PMP-A23-S08.csv
2023,9,,2023-02-27,2023-03-05,P.M.P AGNEAUX,7.84,0.01,EUR/kg carcasse,COT-VRO-ovins_PMP-A23-S09.csv
2023,9,,2023-02-27,2023-03-05,MOYENNE AGNEAUX METROPOLE RUNGIS,8.2,-0.08,EUR/kg carcasse,COT-VRO-ovins_PMP-A23-S09.csv
2023,10,,2023-03-06,2023-03-12,P.M.P AGNEAUX,7.93,0.09,EUR/kg carcasse,COT-VRO-ovins_PMP-A23-S10.csv
2023,10,,2023-03-06,2023-03-12,MOYENNE AGNEAUX METROPOLE RUNGIS,8.18,-0.02,EUR/kg carcasse,COT-VRO-ovins_PMP-A23-S10.csv
2023,11,,2023-03-13,2023-03-19,P.M.P AGNEAUX,8.06,0.13,EUR/kg carcasse,COT-VRO-ovins_PMP-A23-S11.csv
2023,11,,2023-03-13,2023-03-19,MOYENNE AGNEAUX METROPOLE RUNGIS,8.3,0.12,EUR/kg carcasse,COT-VRO-ovins_PMP-A23-S11.csv
2023,12,,2023-03-20,2023-03-26,P.M.P AGNEAUX,8.19,0.13,EUR/kg carcasse,COT-VRO-ovins_PMP-A23-S12.csv
2023,12,,2023-03-20,2023-03-26,MOYENNE AGNEAUX METROPOLE RUNGIS,8.68,0.38,EUR/kg carcasse,COT-VRO-ovins_PMP-A23-S12.csv
2023,13,,2023-03-27,2023-04-02,P.M.P AGNEAUX,8.42,0.23,EUR/kg carcasse,COT-VRO-ovins_PMP-A23-S13.csv
2023,13,,2023-03-27,2023-04-02,MOYENNE AGNEAUX METROPOLE RUNGIS,8.85,0.17,EUR/kg carcasse,COT-VRO-ovins_PMP-A23-S13.csv
2023,14,,2023-04-03,2023-04-09,P.M.P AGNEAUX,8.55,0.13,EUR/kg carcasse,COT-VRO-ovins_PMP-A23-S14.csv
2023,14,,2023-04-03,2023-04-09,MOYENNE AGNEAUX METROPOLE RUNGIS,9.22,0.37,EUR/kg carcasse,COT-VRO-ovins_PMP-A23-S14.csv
