annee,semaine,mois,date_debut,date_fin,categorie,sexe,poids,prix,variation,unite,source
2023,1,,2023-01-02,2023-01-08,Élevage supérieur,Mâle,,187,,EUR/tête,COT-VRO-veaux14j_synthese-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Élevage supérieur,Femelle,,148,,EUR/tête,COT-VRO-veaux14j_synthese-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Engraissement laitier (assez bonne conformation),Mâle,< 45 kg,41,,EUR/tête,COT-VRO-veaux14j_synthese-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Engraissement laitier (assez bonne conformation),Mâle,45 A 50 kg,59,,EUR/tête,COT-VRO-veaux14j_synthese-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Engraissement laitier (assez bonne conformation),Mâle,50 A 60 kg,84,,EUR/tête,COT-VRO-veaux14j_synthese-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,"Prix moyen pondéré (0,3 élevage + 0,7 engraissement)",Mâle,,111,,EUR/tête,COT-VRO-veaux14j_synthese-A23-S01.csv
2023,2,,2023-01-09,2023-01-15,Élevage supérieur,Mâle,,199,12,EUR/tête,COT-VRO-veaux14j_synthese-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Élevage supérieur,Femelle,,163,15,EUR/tête,COT-VRO-veaux14j_synthese-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Engraissement laitier (assez bonne conformation),Mâle,< 45 kg,50,9,EUR/tête,COT-VRO-veaux14j_synthese-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Engraissement laitier (assez bonne conformation),Mâle,45 A 50 kg,62,3,EUR/tête,COT-VRO-veaux14j_synthese-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Engraissement laitier (assez bonne conformation),Mâle,50 A 60 kg,87,3,EUR/tête,COT-VRO-veaux14j_synthese-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,"Prix moyen pondéré (0,3 élevage + 0,7 engraissement)",Mâle,,119,8,EUR/tête,COT-VRO-veaux14j_synthese-A23-S02.csv
2023,3,,2023-01-16,2023-01-22,Élevage supérieur,Mâle,,198,-1,EUR/tête,COT-VRO-veaux14j_synthese-A23-S03.csv
2023,3,,2023-01-16,2023-01-22,Élevage supérieur,Femelle,,165,2,EUR/tête,COT-VRO-veaux14j_synthese-A23-S03.csv
2023,3,,2023-01-16,2023-01-22,Engraissement laitier (assez bonne conformation),Mâle,< 45 kg,51,1,EUR/tête,COT-VRO-veaux14j_synthese-A23-S03.csv
2023,3,,2023-01-16,2023-01-22,Engraissement laitier (assez bonne conformation),Mâle,45 A 50 kg,64,2,EUR/tête,COT-VRO-veaux14j_synthese-A23-S03.csv
2023,3,,2023-01-16,2023-01-22,Engraissement laitier (assez bonne conformation),Mâle,50 A 60 kg,89,2,EUR/tête,COT-VRO-veaux14j_synthese-A23-S03.csv
2023,3,,2023-01-16,2023-01-22,"Prix moyen pondéré (0,3 élevage + 0,7 engraissement)",Mâle,,120,1,EUR/tête,COT-VRO-veaux14j_synthese-A23-S03.csv
2023,4,,2023-01-23,2023-01-29,Élevage supérieur,Mâle,,208,10,EUR/tête,COT-VRO-veaux14j_synthese-A23-S04.csv
2023,4,,2023-01-23,2023-01-29,Élevage supérieur,Femelle,,174,9,EUR/tête,COT-VRO-veaux14j_synthese-A23-S04.csv
2023,4,,2023-01-23,2023-01-29,Engraissement laitier (assez bonne conformation),Mâle,< 45 kg,56,5,EUR/tête,COT-VRO-veaux14j_synthese-A23-S04.csv
2023,4,,2023-01-23,2023-01-29,Engraissement laitier (assez bonne conformation),Mâle,45 A 50 kg,72,8,EUR/tête,COT-VRO-veaux14j_synthese-A23-S04.csv
2023,4,,2023-01-23,2023-01-29,Engraissement laitier (assez bonne conformation),Mâle,50 A 60 kg,95,6,EUR/tête,COT-VRO-veaux14j_synthese-A23-S04.csv
2023,4,,2023-01-23,2023-01-29,"Prix moyen pondéré (0,3 élevage + 0,7 engraissement)",Mâle,,128,8,EUR/tête,COT-VRO-veaux14j_synthese-A23-S04.csv
2023,5,,2023-01-30,2023-02-05,Élevage supérieur,Mâle,,213,5,EUR/tête,COT-VRO-veaux14j_synthese-A23-S05.csv
2023,5,,2023-01-30,2023-02-05,Élevage supérieur,Femelle,,176,2,EUR/tête,COT-VRO-veaux14j_synthese-A23-S05.csv
2023,5,,2023-01-30,2023-02-05,Engraissement laitier (assez bonne conformation),Mâle,< 45 kg,64,8,EUR/tête,COT-VRO-veaux14j_synthese-A23-S05.csv
2023,5,,2023-01-30,2023-02-05,Engraissement laitier (assez bonne conformation),Mâle,45 A 50 kg,82,10,EUR/tête,COT-VRO-veaux14j_synthese-A23-S05.csv
2023,5,,2023-01-30,2023-02-05,Engraissement laitier (assez bonne conformation),Mâle,50 A 60 kg,105,10,EUR/tête,COT-VRO-veaux14j_synthese-A23-S05.csv
2023,5,,2023-01-30,2023-02-05,"Prix moyen pondéré (0,3 élevage + 0,7 engraissement)",Mâle,,135,7,EUR/tête,COT-VRO-veaux14j_synthese-A23-S05.csv
2023,6,,2023-02-06,2023-02-12,Élevage supérieur,Mâle,,217,4,EUR/tête,COT-VRO-veaux14j_synthese-A23-S06.csv
2023,6,,2023-02-06,2023-02-12,Élevage supérieur,Femelle,,180,4,EUR/tête,COT-VRO-veaux14j_synthese-A23-S06.csv
2023,6,,2023-02-06,2023-02-12,Engraissement laitier (assez bonne conformation),Mâle,< 45 kg,64,0,EUR/tête,COT-VRO-veaux14j_synthese-A23-S06.csv
2023,6,,2023-02-06,2023-02-12,Engraissement laitier (assez bonne conformation),Mâle,45 A 50 kg,84,2,EUR/tête,COT-VRO-veaux14j_synthese-A23-S06.csv
2023,6,,2023-02-06,2023-02-12,Engraissement laitier (assez bonne conformation),Mâle,50 A 60 kg,107,2,EUR/tête,COT-VRO-veaux14j_synthese-A23-S06.csv
2023,6,,2023-02-06,2023-02-12,"Prix moyen pondéré (0,3 élevage + 0,7 engraissement)",Mâle,,138,3,EUR/tête,COT-VRO-veaux14j_synthese-A23-S06.csv
2023,7,,2023-02-13,2023-02-19,Élevage supérieur,Mâle,,221,4,EUR/tête,COT-VRO-veaux14j_synthese-A23-S07.csv
2023,7,,2023-02-13,2023-02-19,Élevage supérieur,Femelle,,186,6,EUR/tête,COT-VRO-veaux14j_synthese-A23-S07.csv
