annee,semaine,mois,date_debut,date_fin,type_racial,sexe,conformation,poids,marche,unite,prix,variation,source
2023,1,,2023-01-02,2023-01-08,Limousins,Mâle,E,,AGEN,EUR/tête,470,,COT-VRO-veaux14j_9_marches-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Limousins,Mâle,E,,LEZA,EUR/tête,490,,COT-VRO-veaux14j_9_marches-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Limousins,Mâle,E,,MOYENNE NATIONALE,EUR/tête,484.08,,COT-VRO-veaux14j_9_marches-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Limousins,Mâle,U,,AGEN,EUR/tête,390,,COT-VRO-veaux14j_9_marches-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Limousins,Mâle,U,,LEZA,EUR/tête,420,,COT-VRO-veaux14j_9_marches-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Limousins,Mâle,U,,MOYENNE NATIONALE,EUR/tête,411.12,,COT-VRO-veaux14j_9_marches-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Limousins,Mâle,R,,AGEN,EUR/tête,265,,COT-VRO-veaux14j_9_marches-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Limousins,Mâle,R,,LEZA,EUR/tête,240,,COT-VRO-veaux14j_9_marches-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Limousins,Mâle,R,,MOYENNE NATIONALE,EUR/tête,247.4,,COT-VRO-veaux14j_9_marches-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Limousins,Mâle,O,,LEZA,EUR/tête,70,,COT-VRO-veaux14j_9_marches-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Limousins,Mâle,O,,MOYENNE NATIONALE,EUR/tête,70,,COT-VRO-veaux14j_9_marches-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Limousins,Femelle,E,,AGEN,EUR/tête,360,,COT-VRO-veaux14j_9_marches-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Limousins,Femelle,E,,LEZA,EUR/tête,410,,COT-VRO-veaux14j_9_marches-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Limousins,Femelle,E,,MOYENNE NATIONALE,EUR/tête,394.34,,COT-VRO-veaux14j_9_marches-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Limousins,Femelle,U,,AGEN,EUR/tête,310,,COT-VRO-veaux14j_9_marches-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Limousins,Femelle,U,,LEZA,EUR/tête,350,,COT-VRO-veaux14j_9_marches-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Limousins,Femelle,U,,MOYENNE NATIONALE,EUR/tête,337.47,,COT-VRO-veaux14j_9_marches-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Limousins,Femelle,R,,AGEN,EUR/tête,175,,COT-VRO-veaux14j_9_marches-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Limousins,Femelle,R,,LEZA,EUR/tête,140,,COT-VRO-veaux14j_9_marches-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Limousins,Femelle,R,,MOYENNE NATIONALE,EUR/tête,150.97,,COT-VRO-veaux14j_9_marches-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Limousins,Femelle,O,,AGEN,EUR/tête,70,,COT-VRO-veaux14j_9_marches-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Limousins,Femelle,O,,LEZA,EUR/tête,40,,COT-VRO-veaux14j_9_marches-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Limousins,Femelle,O,,MOYENNE NATIONALE,EUR/tête,49.4,,COT-VRO-veaux14j_9_marches-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Charolais,Mâle,E,,LEZA,EUR/tête,420,,COT-VRO-veaux14j_9_marches-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Charolais,Mâle,E,,MOYENNE NATIONALE,EUR/tête,420,,COT-VRO-veaux14j_9_marches-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Charolais,Mâle,U,,LEZA,EUR/tête,360,,COT-VRO-veaux14j_9_marches-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Charolais,Mâle,U,,MOYENNE NATIONALE,EUR/tête,360,,COT-VRO-veaux14j_9_marches-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Charolais,Mâle,R,,LEZA,EUR/tête,210,,COT-VRO-veaux14j_9_marches-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Charolais,Mâle,R,,MOYENNE NATIONALE,EUR/tête,210,,COT-VRO-veaux14j_9_marches-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Charolais,Mâle,O,,LEZA,EUR/tête,80,,COT-VRO-veaux14j_9_marches-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Charolais,Mâle,O,,MOYENNE NATIONALE,EUR/tête,80,,COT-VRO-veaux14j_9_marches-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Charolais,Femelle,E,,LEZA,EUR/tête,365,,COT-VRO-veaux14j_9_marches-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Charolais,Femelle,E,,MOYENNE NATIONALE,EUR/tête,365,,COT-VRO-veaux14j_9_marches-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Charolais,Femelle,U,,LEZA,EUR/tête,310,,COT-VRO-veaux14j_9_marches-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Charolais,Femelle,U,,MOYENNE NATIONALE,EUR/tête,310,,COT-VRO-veaux14j_9_marches-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Charolais,Femelle,R,,LEZA,EUR/tête,150,,COT-VRO-veaux14j_9_marches-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Charolais,Femelle,R,,MOYENNE NATIONALE,EUR/tête,150,,COT-VRO-veaux14j_9_marches-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Charolais,Femelle,O,,LEZA,EUR/tête,80,,COT-VRO-veaux14j_9_marches-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Charolais,Femelle,O,,MOYENNE NATIONALE,EUR/tête,80,,COT-VRO-veaux14j_9_marches-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Croise Viande,Mâle,E,,LEZA,EUR/tête,390,,COT-VRO-veaux14j_9_marches-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Croise Viande,Mâle,E,,MOYENNE NATIONALE,EUR/tête,390,,COT-VRO-veaux14j_9_marches-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Croise Viande,Mâle,U,,CHAG,EUR/tête,305,,COT-VRO-veaux14j_9_marches-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Croise Viande,Mâle,U,,LEZA,EUR/tête,330,,COT-VRO-veaux14j_9_marches-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Croise Viande,Mâle,U,,MOYENNE NATIONALE,EUR/tête,324.12,,COT-VRO-veaux14j_9_marches-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Croise Viande,Mâle,R,,CHAG,EUR/tête,155,,COT-VRO-veaux14j_9_marches-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Croise Viande,Mâle,R,,LEZA,EUR/tête,190,,COT-VRO-veaux14j_9_marches-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Croise Viande,Mâle,R,,MOYENNE NATIONALE,EUR/tête,181.76,,COT-VRO-veaux14j_9_marches-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Croise Viande,Mâle,O,,CHAG,EUR/tête,70,,COT-VRO-veaux14j_9_marches-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Croise Viande,Mâle,O,,LEZA,EUR/tête,60,,COT-VRO-veaux14j_9_marches-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Croise Viande,Mâle,O,,MOYENNE NATIONALE,EUR/tête,62.35,,COT-VRO-veaux14j_9_marches-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Croise Viande,Femelle,E,,LEZA,EUR/tête,335,,COT-VRO-veaux14j_9_marches-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Croise Viande,Femelle,E,,MOYENNE NATIONALE,EUR/tête,335,,COT-VRO-veaux14j_9_marches-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Croise Viande,Femelle,U,,CHAG,EUR/tête,205,,COT-VRO-veaux14j_9_marches-A23-S01.csv
