annee,semaine,mois,date_debut,date_fin,mode,region,couleur,conformation,unite,prix,variation,source
2023,1,,2023-01-02,2023-01-08,Non élevés au pis,NORD,ROSE TRES CLAIR,R,EUR/kg carcasse,7.95,0.02,COT-VRO-veaux_bouch_non_pis-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Non élevés au pis,NORD,ROSE CLAIR,U,EUR/kg carcasse,8.46,0,COT-VRO-veaux_bouch_non_pis-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Non élevés au pis,NORD,ROSE CLAIR,R,EUR/kg carcasse,7.75,-0.03,COT-VRO-veaux_bouch_non_pis-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Non élevés au pis,NORD,ROSE CLAIR,O,EUR/kg carcasse,7.59,-0.05,COT-VRO-veaux_bouch_non_pis-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Non élevés au pis,NORD,ROSE CLAIR,P,EUR/kg carcasse,6.58,-0.04,COT-VRO-veaux_bouch_non_pis-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Non élevés au pis,NORD,ROSE,U,EUR/kg carcasse,5.7,-0.4,COT-VRO-veaux_bouch_non_pis-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Non élevés au pis,NORD,ROSE,R,EUR/kg carcasse,5.51,-0.04,COT-VRO-veaux_bouch_non_pis-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Non élevés au pis,NORD,ROSE,O,EUR/kg carcasse,5.26,0.06,COT-VRO-veaux_bouch_non_pis-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Non élevés au pis,NORD,ROSE,P,EUR/kg carcasse,4.89,0,COT-VRO-veaux_bouch_non_pis-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Non élevés au pis,SUD,ROSE TRES CLAIR,O,EUR/kg carcasse,7.3,,COT-VRO-veaux_bouch_non_pis-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Non élevés au pis,SUD,ROSE TRES CLAIR,P,EUR/kg carcasse,6.59,,COT-VRO-veaux_bouch_non_pis-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Non élevés au pis,SUD,ROSE CLAIR,U,EUR/kg carcasse,8.5,0.05,COT-VRO-veaux_bouch_non_pis-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Non élevés au pis,SUD,ROSE CLAIR,R,EUR/kg carcasse,7.87,0.16,COT-VRO-veaux_bouch_non_pis-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Non élevés au pis,SUD,ROSE CLAIR,O,EUR/kg carcasse,7.25,0,COT-VRO-veaux_bouch_non_pis-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Non élevés au pis,SUD,ROSE CLAIR,P,EUR/kg carcasse,6.49,0.1,COT-VRO-veaux_bouch_non_pis-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,Non élevés au pis,SUD,ROSE,R,EUR/kg carcasse,6.72,-0.01,COT-VRO-veaux_bouch_non_pis-A23-S01.csv
