annee,semaine,mois,date_debut,date_fin,categorie,prix,variation,unite,source
2023,1,,2023-01-02,2023-01-08,ENTREE ABATTOIR,7.16,0.04,EUR/kg carcasse,COT-VRO-veaux_PMP-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,NON ELEVES AU PIS,7.1,0.02,EUR/kg carcasse,COT-VRO-veaux_PMP-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,ELEVES AU PIS,9.57,-0.26,EUR/kg carcasse,COT-VRO-veaux_PMP-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,PRIX MOYEN PONDERE AU 100KILO NET (NON ÉLEVÉS AU PIS),710.3,2.8,EUR/100 kg net,COT-VRO-veaux_bouch_non_pis-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,PRIX MOYEN PONDERE AU 100KILO NET (ÉLEVÉS AU PIS),956.9,-26.1,EUR/100 kg net,COT-VRO-veaux_bouch_pis-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,PRIX MOYEN PONDERE AUX 100 KG VIF,716.2,4,EUR/100 kg vif,COT-VRO-veaux_bouch_synthese-A23-S01.csv
2023,1,,2023-01-02,2023-01-08,PRIX MOYEN PONDERE AUX 100 KG NET DES VEAUX CLAIRS,775,0,EUR/100 kg net,COT-VRO-veaux_bouch_synthese-A23-S01.csv
2023,2,,2023-01-09,2023-01-15,ENTREE ABATTOIR,7.15,-0.01,EUR/kg carcasse,COT-VRO-veaux_PMP-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,NON ELEVES AU PIS,7.1,0,EUR/kg carcasse,COT-VRO-veaux_PMP-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,ELEVES AU PIS,9.53,-0.04,EUR/kg carcasse,COT-VRO-veaux_PMP-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,PRIX MOYEN PONDERE AU 100KILO NET (NON ÉLEVÉS AU PIS),710.1,-0.2,EUR/100 kg net,COT-VRO-veaux_bouch_non_pis-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,PRIX MOYEN PONDERE AU 100KILO NET (ÉLEVÉS AU PIS),953.1,-3.8,EUR/100 kg net,COT-VRO-veaux_bouch_pis-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,PRIX MOYEN PONDERE AUX 100 KG VIF,715.1,-1.1,EUR/100 kg vif,COT-VRO-veaux_bouch_synthese-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,PRIX MOYEN PONDERE AUX 100 KG NET DES VEAUX CLAIRS,777.1,2.1,EUR/100 kg net,COT-VRO-veaux_bouch_synthese-A23-S02.csv
2023,3,,2023-01-16,2023-01-22,ENTREE ABATTOIR,7.16,0.01,EUR/kg carcasse,COT-VRO-veaux_PMP-A23-S03.csv
2023,3,,2023-01-16,2023-01-22,NON ELEVES AU PIS,7.1,0,EUR/kg carcasse,COT-VRO-veaux_PMP-A23-S03.csv
2023,3,,2023-01-16,2023-01-22,ELEVES AU PIS,9.65,0.12,EUR/kg carcasse,COT-VRO-veaux_PMP-A23-S03.csv
2023,3,,2023-01-16,2023-01-22,PRIX MOYEN PONDERE AU 100KILO NET (NON ÉLEVÉS AU PIS),710,-0.1,EUR/100 kg net,COT-VRO-veaux_bouch_non_pis-A23-S03.csv
2023,3,,2023-01-16,2023-01-22,PRIX MOYEN PONDERE AU 100KILO NET (ÉLEVÉS AU PIS),964.5,11.4,EUR/100 kg net,COT-VRO-veaux_bouch_pis-A23-S03.csv
