GROS BOVINS ENTREE ABATTOIR
EFFECTIFS COMMUNAUTAIRES DES GROS BOVINS ENTREE-ABATTOIR

SEMAINE N° 48 DU 25/11/2024 AU 01/12/2024

;;;;Effectis cumulés
;;;;ETATS D'ENGRAISSEMENT
;;;;2;3;4

1;1;MALES NON CASTRES DE MOINS DE 2 ANS;E;93,00;32,00;
1;2;MALES NON CASTRES DE MOINS DE 2 ANS;U;2840,00;4338,00;
1;3;MALES NON CASTRES DE MOINS DE 2 ANS;R;1143,00;2295,00;
1;4;MALES NON CASTRES DE MOINS DE 2 ANS;O;268,00;922,00;
1;5;MALES NON CASTRES DE MOINS DE 2 ANS;P;;362,00;
2;1;AUTRES MALES NON CASTRES;E;;;
2;2;AUTRES MALES NON CASTRES;U;163,00;29,00;
2;3;AUTRES MALES NON CASTRES;R;182,00;40,00;
2;4;AUTRES MALES NON CASTRES;O;86,00;35,00;
3;1;MALES CASTRES;E;4,00;13,00;
3;2;MALES CASTRES;U;21,00;56,00;
3;3;MALES CASTRES;R;;332,00;28,00
3;4;MALES CASTRES;O;;739,00;31,00
3;5;MALES CASTRES;P;;347,00;
4;1;FEMELLES AYANT DEJA VELE;E;;37,00;
4;2;FEMELLES AYANT DEJA VELE;U;75,00;1918,00;
4;3;FEMELLES AYANT DEJA VELE;R;947,00;5057,00;190,00
4;4;FEMELLES AYANT DEJA VELE;O;591,00;4730,00;259,00
4;5;FEMELLES AYANT DEJA VELE;P;207,00;6150,00;
5;1;AUTRES FEMELLES;E;2,00;28,00;
5;2;AUTRES FEMELLES;U;47,00;1302,00;
5;3;AUTRES FEMELLES;R;263,00;2666,00;195,00
5;4;AUTRES FEMELLES;O;88,00;414,00;59,00
