GROS BOVINS ENTREE ABATTOIR
TONNAGES COMMUNAUTAIRES DES GROS BOVINS ENTREE-ABATTOIR

SEMAINE N° 48 DU 25/11/2024 AU 01/12/2024

;;;;Tonnages cumulés
;;;;ETATS D'ENGRAISSEMENT
;;;;2;3;4

1;1;MALES NON CASTRES DE MOINS DE 2 ANS;E;42,87;16,32;
1;2;MALES NON CASTRES DE MOINS DE 2 ANS;U;1284,11;2005,81;
1;3;MALES NON CASTRES DE MOINS DE 2 ANS;R;452,50;966,20;
1;4;MALES NON CASTRES DE MOINS DE 2 ANS;O;90,65;359,30;
1;5;MALES NON CASTRES DE MOINS DE 2 ANS;P;;128,07;
2;1;AUTRES MALES NON CASTRES;E;;;
2;2;AUTRES MALES NON CASTRES;U;98,36;17,58;
2;3;AUTRES MALES NON CASTRES;R;90,08;18,40;
2;4;AUTRES MALES NON CASTRES;O;34,64;15,78;
3;1;MALES CASTRES;E;2,20;7,91;
3;2;MALES CASTRES;U;10,18;28,97;
3;3;MALES CASTRES;R;;144,61;11,89
3;4;MALES CASTRES;O;;286,54;13,28
3;5;MALES CASTRES;P;;120,44;
4;1;FEMELLES AYANT DEJA VELE;E;;21,03;
4;2;FEMELLES AYANT DEJA VELE;U;35,19;938,39;
4;3;FEMELLES AYANT DEJA VELE;R;371,95;2104,62;82,34
4;4;FEMELLES AYANT DEJA VELE;O;191,97;1695,58;103,12
4;5;FEMELLES AYANT DEJA VELE;P;58,96;2029,11;
5;1;AUTRES FEMELLES;E;1,10;16,29;
5;2;AUTRES FEMELLES;U;18,10;553,16;
5;3;AUTRES FEMELLES;R;87,19;991,29;72,88
5;4;AUTRES FEMELLES;O;24,37;135,85;20,20
