EQUIDES
COTATIONS REGIONALES ET NATIONALES DES EQUIDES D'ORIGINE FRANCAISE
EN EURO
SEMAINE N° 30 DU 21/07/2025 AU 27/07/2025

 PAR KILO NET ENTREE ABATTOIR (Hors Taxe)

;;;ANIMAUX JEUNES;;;;;CHEVAUX D'AGE
;;;LAITONS LEGERS CLAIRS;;;POULAINS LOURDS FONCES (- DE 24 MOIS);;RACES LEGERES (- DE 360 KG);;;RACES LOURDES (+ DE 360 KG)
EN EURO;;1=MIN,2=MAX,3=PMP,4=VAR,6=MOY.NAT.,7=VAR;EXTRA;BON;MOYEN;EXTRA;BON;EXTRA;BON;MOYEN;EXTRA;BON;
1;NORD ET EST;1;;;;;;;;;;
1;NORD ET EST;2;;;;;;;;;;
1;NORD ET EST;3;;;;;;;;;;
1;NORD ET EST;4;;;;;;;;;;
2;GRAND OUEST;1;;;;;;;;;;
2;GRAND OUEST;2;;;;;;;;;;
2;GRAND OUEST;3;;;;;;;;;;
2;GRAND OUEST;4;;;;;;;;;;
3;GRAND SUD-EST;1;;;;;;;;;;
3;GRAND SUD-EST;2;;;;;;;;;;
3;GRAND SUD-EST;3;;;;;;;;;;
3;GRAND SUD-EST;4;;;;;;;;;;
4;GRAND SUD-OUEST;1;;;;;;;;;;
4;GRAND SUD-OUEST;2;;;;;;;;;;
4;GRAND SUD-OUEST;3;;;;;;;;;;
4;GRAND SUD-OUEST;4;;;;;;;;;;
5;MOYENNES NATIONALES;6;;;;;;;;;;
5;MOYENNES NATIONALES;7;;;;;;;;;;
