GROS BOVINS ENTREE ABATTOIR
COTATIONS COMMUNAUTAIRES DES GROS BOVINS ENTREE-ABATTOIR
EN EURO
SEMAINE N° 25 DU 16/06/2025 AU 22/06/2025

EN EURO/KG NET, frais de transport inclus
;;;;ETATS D'ENGRAISSEMENT
;;;;2;3;4

1;1;MALES NON CASTRES DE MOINS DE 2 ANS;E;7,08;;;
1;2;MALES NON CASTRES DE MOINS DE 2 ANS;U;6,79;6,55;;
1;3;MALES NON CASTRES DE MOINS DE 2 ANS;R;6,54;6,40;;
1;4;MALES NON CASTRES DE MOINS DE 2 ANS;O;6,14;6,06;;
1;5;MALES NON CASTRES DE MOINS DE 2 ANS;P;;6,01;;
2;1;AUTRES MALES NON CASTRES;E;;;;
2;2;AUTRES MALES NON CASTRES;U;6,33;;;
2;3;AUTRES MALES NON CASTRES;R;6,28;;;
2;4;AUTRES MALES NON CASTRES;O;5,86;;;
3;1;MALES CASTRES;E;;;;
3;2;MALES CASTRES;U;;;;
3;3;MALES CASTRES;R;;6,41;;
3;4;MALES CASTRES;O;;6,19;;
3;5;MALES CASTRES;P;;6,01;;
4;1;FEMELLES AYANT DEJA VELE;E;;;;
4;2;FEMELLES AYANT DEJA VELE;U;;6,85;;
4;3;FEMELLES AYANT DEJA VELE;R;6,57;6,55;6,48;
4;4;FEMELLES AYANT DEJA VELE;O;6,32;6,11;6,00;
4;5;FEMELLES AYANT DEJA VELE;P;5,76;5,94;;
5;1;AUTRES FEMELLES;E;;;;
5;2;AUTRES FEMELLES;U;;6,84;;
5;3;AUTRES FEMELLES;R;6,60;6,53;6,40;
5;4;AUTRES FEMELLES;O;;6,23;;

Les prix sont en euro/kg carcasse, frais de transport inclus. Les différences de présentation des carcasses françaises et communautaires sont prises en compte dans l'établissement des prix.
