GROS BOVINS STANDARDS
COTATIONS NATIONALES DES GROS BOVINS ENTREE ABATTOIR STANDARDS
EN EURO
SEMAINE N° 18 DU 28/04/2025 AU 04/05/2025

EN EURO/KG NET, frais de transport inclus

;;Jeunes bovins 8 à 24 mois;Jeunes bovins 12 à 24 mois;;;;Taureaux;Boeufs;;;Vaches;;;;;;;Génisses;;
;;Viande Mixte Lait;Viande hors Bl/Parth.;Blonde/Parth.;Mixte;Lait;VML;Viande;Mixte;Lait;Viande tous poids, toutes races;Viande hors Bl/Parth. -10 a +350kg;Blonde/Parth. -10 ans +350Kg;Charolaise -10 ans +350Kg;Limousine -10 ans +350Kg;Mixte;Lait;Viande Mixte Lait;Viande +350Kg;Mixte Lait;;
E;Cot;6,74;;;;;;;;;;;;;;;;;;
E;Var;0,01;;;;;;;;;;;;;;;;;;
U+;Cot;;6,49;6,75;;;;;;;;;;;;;;;;
U+;Var;;0,02;0,01;;;;;;;;;;;;;;;;
U=;Cot;6,48;6,46;6,71;;;5,94;;;;6,53;6,50;6,97;;6,61;;;6,53;6,66;
U=;Var;0,02;0,03;0,02;;;0,06;;;;0,03;-0,01;0,08;;-0,11;;;0,01;-0,03;
U-;Cot;;6,41;6,66;;;;;;;;6,35;6,73;6,27;6,48;;;;6,45;
U-;Var;;0,03;0,02;;;;;;;;0,05;0,07;0,05;0,05;;;;0,02;
R+;Cot;;6,38;;;;;6,22;;;;6,27;6,52;6,24;6,39;;;;6,32;
R+;Var;;0,03;;;;;0,04;;;;0,04;;0,05;0,02;;;;0,02;
R=;Cot;6,25;6,26;;;;5,82;6,10;;;6,21;6,21;;6,22;;;;6,24;6,21;
R=;Var;0,01;0,01;;;;0,04;0,06;;;0,04;0,03;;0,05;;;;0,05;0,04;
R-;Cot;;6,10;;5,90;;;6,06;;;;6,14;;;;5,87;;;6,14;
R-;Var;;-0,02;;0,05;;;0,07;;;;0,06;;;;0,08;;;0,08;
O+;Cot;;;;5,90;;;5,99;5,83;;;;;;;5,82;;;;
O+;Var;;;;0,06;;;0,02;0,07;;;;;;;0,08;;;;
O=;Cot;5,72;;;;5,65;;;5,83;;5,92;;;;;5,79;5,66;5,90;;
O=;Var;0,06;;;;0,08;;;0,09;;0,07;;;;;0,08;0,09;0,09;;
O-;Cot;;;;;5,65;;;5,84;5,72;;;;;;5,76;5,66;;;
O-;Var;;;;;0,07;;;0,08;0,09;;;;;;0,09;0,10;;;
P+;Cot;;;;;5,67;;;;5,72;;;;;;5,69;5,64;;;
P+;Var;;;;;0,09;;;;0,10;;;;;;0,10;0,10;;;
P=;Cot;5,67;;;;;;;;;;;;;;;5,60;;;
P=;Var;0,09;;;;;;;;;;;;;;;0,10;;;
P-;Cot;;;;;;;;;;;;;;;;5,48;;;
P-;Var;;;;;;;;;;;;;;;;0,10;;;

PMP;Var
6,11;0,05
