GROS BOVINS STANDARDS
COTATIONS REGIONALES DES GROS BOVINS ENTREE ABATTOIR STANDARDS
EN EURO
SEMAINE N° 33 DU 12/08/2024 AU 18/08/2024

EN EURO/KG NET, frais de transport inclus

;;;Jeunes bovins 12 à 24 mois;;;;Taureaux;Boeufs;;;Vaches;;;;;;Génisses;;
;;;Viande hors Bl/Parth.;Blonde/Parth.;Mixte;Lait;VML;Viande;Mixte;Lait;Viande hors Bl/Parth. -10 a +350kg;Blonde/Parth. -10 ans +350Kg;Charolaise -10 ans +350Kg;Limousine -10 ans +350Kg;Mixte;Lait;Viande +350Kg;Mixte Lait;;
NORD-EST;E;Cot;;;;;;;;;;;;;;;;;
NORD-EST;E;Var;;;;;;;;;;;;;;;;;
NORD-EST;U+;Cot;5,33;;;;;;;;;;;;;;;;
NORD-EST;U+;Var;;;;;;;;;;;;;;;;;
NORD-EST;U=;Cot;5,32;5,60;;;;;;;;;;;;;;;
NORD-EST;U=;Var;0,05;0,03;;;;;;;;;;;;;;;
NORD-EST;U-;Cot;5,27;5,55;;;;;;;;;;;;;;;
NORD-EST;U-;Var;0,04;;;;;;;;;;;;;;;;
NORD-EST;R+;Cot;5,26;;;;;;;;5,59;;5,54;;;;5,71;;
NORD-EST;R+;Var;0,05;;;;;;;;0;;;;;;0,03;;
NORD-EST;R=;Cot;5,15;;;;;;;;5,53;;;;;;;;
NORD-EST;R=;Var;0,06;;;;;;;;0;;;;;;;;
NORD-EST;R-;Cot;;;;;;;;;;;;;;;;;
NORD-EST;R-;Var;;;;;;;;;;;;;;;;;
NORD-EST;O+;Cot;;;;;;;;;;;;;;;;;
NORD-EST;O+;Var;;;;;;;;;;;;;;;;;
NORD-EST;O=;Cot;;;;;;;;;;;;;;;;;
NORD-EST;O=;Var;;;;;;;;;;;;;;;;;
NORD-EST;O-;Cot;;;;4,72;;;;;;;;;;4,53;;;
NORD-EST;O-;Var;;;;0;;;;;;;;;;0,06;;;
NORD-EST;P+;Cot;;;;4,70;;;;4,60;;;;;;4,53;;;
NORD-EST;P+;Var;;;;0;;;;0,04;;;;;;0,06;;;
NORD-EST;P=;Cot;;;;;;;;;;;;;;4,52;;;
NORD-EST;P=;Var;;;;;;;;;;;;;;0,06;;;
NORD-EST;P-;Cot;;;;;;;;;;;;;;;;;
NORD-EST;P-;Var;;;;;;;;;;;;;;;;;
CENTRE-EST;E;Cot;;;;;;;;;;;;;;;;;
CENTRE-EST;E;Var;;;;;;;;;;;;;;;;;
