GROS BOVINS MAIGRES
COTATIONS DES BOVINS DESTINES A L'ENGRAISSEMENT
EN EURO
SEMAINE N° 33 DU 12/08/2024 AU 18/08/2024

EN EURO/KG VIF
RACES;;;LIMOUSINS;;;;CHAROLAIS;;;;;;;CROISES;;;;;;;BLOND D'AQUITAINE;;;;;;SALERS;;;;;;;AUBRAC/GASCONS
;;SEXE;M;M;M;F;M;M;M;M;M;F;F;M;M;M;M;M;F;F;M;M;M;M;F;F;M;M;M;M;M;F;F;M;M;M;M;M;F;F
;;AGE;*6/12;*6/12;*6/12;*6/12;*6/12;*6/12;*6/12;*12/24;*12/24;*6/12;*12/24;*6/12;*6/12;*6/12;*12/24;*12/24;*6/12;*12/24;*6/12;*6/12;*6/12;*12/24;*6/12;*12/24;*6/12;*6/12;*6/12;*12/24;*12/24;*6/12;*12/24;*6/12;*6/12;*6/12;*12/24;*12/24;*6/12;*12/24
LIMOGES;RECONDUCTION DES COURS.;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LIMOGES;RECONDUCTION DES COURS.;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LIMOGES;RECONDUCTION DES COURS.;U;4,05;4,13;4,10;3,65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LIMOGES;RECONDUCTION DES COURS.;U;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LIMOGES;RECONDUCTION DES COURS.;R;3,61;3,70;3,65;3,32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LIMOGES;RECONDUCTION DES COURS.;R;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LIMOGES;RECONDUCTION DES COURS.;tonnage;250,00;300,00;350,00;270,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CLERMONT-FERRAND;ABSENCE DE COTATIONS FAUTE D’ACTIVITÉ SUFFISANTE (SEMAINE DU 15 AOÛT).;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CLERMONT-FERRAND;ABSENCE DE COTATIONS FAUTE D’ACTIVITÉ SUFFISANTE (SEMAINE DU 15 AOÛT).;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CLERMONT-FERRAND;ABSENCE DE COTATIONS FAUTE D’ACTIVITÉ SUFFISANTE (SEMAINE DU 15 AOÛT).;U;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CLERMONT-FERRAND;ABSENCE DE COTATIONS FAUTE D’ACTIVITÉ SUFFISANTE (SEMAINE DU 15 AOÛT).;U;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CLERMONT-FERRAND;ABSENCE DE COTATIONS FAUTE D’ACTIVITÉ SUFFISANTE (SEMAINE DU 15 AOÛT).;R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CLERMONT-FERRAND;ABSENCE DE COTATIONS FAUTE D’ACTIVITÉ SUFFISANTE (SEMAINE DU 15 AOÛT).;R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CLERMONT-FERRAND;ABSENCE DE COTATIONS FAUTE D’ACTIVITÉ SUFFISANTE (SEMAINE DU 15 AOÛT).;tonnage;;;;;;;;;;;;300,00;350,00;400,00;450,00;500,00;320,00;;;;;;;;300,00;350,00;400,00;450,00;500,00;320,00;400,00;300,00;350,00;400,00;450,00;;;;
DIJON;LES COURS SONT RECONDUITS.;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DIJON;LES COURS SONT RECONDUITS.;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DIJON;LES COURS SONT RECONDUITS.;U;;;;;3,95;3,87;3,83;3,78;3,59;3,50;3,34;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DIJON;LES COURS SONT RECONDUITS.;U;;;;;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DIJON;LES COURS SONT RECONDUITS.;R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DIJON;LES COURS SONT RECONDUITS.;R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DIJON;LES COURS SONT RECONDUITS.;tonnage;;;;;300,00;350,00;400,00;450,00;500,00;270,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TOULOUSE;PAS D'EXPORT, COURS RECONDUITS.;E;4,15;4,05;3,95;3,60;;;;;;;;;3,80;;;;;;4,55;4,45;;;3,95;;;;;;;;;;;;;;;;
TOULOUSE;PAS D'EXPORT, COURS RECONDUITS.;E;0;0;0;0;;;;;;;;;0;;;;;;0;0;;;0;;;;;;;;;;;;;;;;
TOULOUSE;PAS D'EXPORT, COURS RECONDUITS.;U;3,95;3,90;3,85;3,50;;;;;;;;3,75;3,65;3,70;3,65;3,65;3,40;3,40;4,35;4,25;;;3,60;;;;;;;;;3,65;3,55;3,60;;;;;
TOULOUSE;PAS D'EXPORT, COURS RECONDUITS.;U;0;0;0;0;;;;;;;;0;0;0;0;0;0;0;0;0;;;0;;;;;;;;;0;0;0;;;;;
TOULOUSE;PAS D'EXPORT, COURS RECONDUITS.;R;3,65;3,65;3,55;3,35;;;;;;;;3,50;3,45;3,50;3,45;3,45;3,05;3,15;3,55;3,50;;;3,30;;;;;;;;;3,45;3,40;3,40;;;;;
TOULOUSE;PAS D'EXPORT, COURS RECONDUITS.;R;0;0;0;0;;;;;;;;0;0;0;0;0;0;0;0;0;;;0;;;;;;;;;0;0;0;;;;;
TOULOUSE;PAS D'EXPORT, COURS RECONDUITS.;tonnage;250,00;300,00;350,00;270,00;;;;;;;;300,00;350,00;400,00;450,00;500,00;270,00;400,00;250,00;300,00;350,00;450,00;270,00;400,00;;;;;;;;300,00;350,00;400,00;450,00;500,00;270,00;400,00;
NANTES;RECONDUCTION DES COURS.;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NANTES;RECONDUCTION DES COURS.;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NANTES;RECONDUCTION DES COURS.;U;;3,90;3,75;;3,90;3,75;;;;;;;;;;;;;4,35;4,30;4,15;;;;;;;;;;;;;;;;;;
NANTES;RECONDUCTION DES COURS.;U;;0;0;;0;0;;;;;;;;;;;;;0;0;0;;;;;;;;;;;;;;;;;;
NANTES;RECONDUCTION DES COURS.;R;;3,35;;;3,35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NANTES;RECONDUCTION DES COURS.;R;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NANTES;RECONDUCTION DES COURS.;tonnage;250,00;300,00;350,00;270,00;300,00;350,00;400,00;450,00;500,00;270,00;400,00;300,00;350,00;400,00;450,00;500,00;270,00;400,00;250,00;300,00;350,00;450,00;270,00;400,00;;;;;;;;;;;;;;;
NANCY;;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NANCY;;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NANCY;;U;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NANCY;;U;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
