GROS BOVINS VIFS
COTATION GROS BOVINS VIFS SUR LES MARCHES DE REFERENCE
EN EURO
SEMAINE N° 38 DU 17/09/2025 AU 23/09/2025

EN EURO/KG NET;MARCHE 1;;;;;;;;;;;;;;;;;;MARCHE 2;;;;;;;;;;;;;;;;;;MARCHE 3;;;;;;;;;;;;;;;;;;MARCHE 4
GROUPE;VILLE;DATE;TENDANCE;EFF. BOVIN;VAR. EFF;INV;EFF. BF;EFF. GE;EFF. VA;EFF. TA;EFF. JB;CATEGORIE;TYPE RACIAL;CONFORMATION;PRIX MIN.;PRIX MAX.;PRIX MOY.;VAR.;VILLE;DATE;TENDANCE;EFF. BOVIN;VAR. EFF;INV;EFF. BF;EFF. GE;EFF. VA;EFF. TA;EFF. JB;CATEGORIE;TYPE RACIAL;CONFORMATION;PRIX MIN.;PRIX MAX.;PRIX MOY.;VAR.;VILLE;DATE;TENDANCE;EFF. BOVIN;VAR. EFF;INV;EFF. BF;EFF. GE;EFF. VA;EFF. TA;EFF. JB;CATEGORIE;TYPE RACIAL;CONFORMATION;PRIX MIN.;PRIX MAX.;PRIX MOY.;VAR.;VILLE;DATE;TENDANCE;EFF. BOVIN;VAR. EFF;INV;EFF. BF;EFF. GE;EFF. VA;EFF. TA;EFF. JB;CATEGORIE;TYPE RACIAL;CONFORMATION;PRIX MIN.;PRIX MAX.;PRIX MOY.;VAR.
1;AGEN;17/09/2025 00:00:00;;;;;;;;;;VACHES;VIANDES;E;;;;;ARRAS;18/09/2025 00:00:00;;;;;;;;;;VACHES;VIANDES;E;;;;;BOURG-EN-BRESSE;23/09/2025 00:00:00;;;;;;;;;;VACHES;VIANDES;E;;;;;CHOLET;22/09/2025 00:00:00;;;;;;;;;;VACHES;VIANDES;E;;;;
1;AGEN;17/09/2025 00:00:00;;;;;;;;;;VACHES;VIANDES;U;;;;;ARRAS;18/09/2025 00:00:00;;;;;;;;;;VACHES;VIANDES;U;;;;;BOURG-EN-BRESSE;23/09/2025 00:00:00;;;;;;;;;;VACHES;VIANDES;U;;;;;CHOLET;22/09/2025 00:00:00;;;;;;;;;;VACHES;VIANDES;U;;;;
1;AGEN;17/09/2025 00:00:00;;;;;;;;;;VACHES;VIANDES;R;;;;;ARRAS;18/09/2025 00:00:00;;;;;;;;;;VACHES;VIANDES;R;;;;;BOURG-EN-BRESSE;23/09/2025 00:00:00;;;;;;;;;;VACHES;VIANDES;R;;;;;CHOLET;22/09/2025 00:00:00;;;;;;;;;;VACHES;VIANDES;R;;;;
1;AGEN;17/09/2025 00:00:00;;;;;;;;;;VACHES;VIANDES;O;;;;;ARRAS;18/09/2025 00:00:00;;;;;;;;;;VACHES;VIANDES;O;;;;;BOURG-EN-BRESSE;23/09/2025 00:00:00;;;;;;;;;;VACHES;VIANDES;O;;;;;CHOLET;22/09/2025 00:00:00;;;;;;;;;;VACHES;VIANDES;O;;;;
1;AGEN;17/09/2025 00:00:00;;;;;;;;;;VACHES;BLD -10A+350KG;E;;;;;ARRAS;18/09/2025 00:00:00;;;;;;;;;;VACHES;BLD -10A+350KG;E;;;;;BOURG-EN-BRESSE;23/09/2025 00:00:00;;;;;;;;;;VACHES;BLD -10A+350KG;E;;;;;CHOLET;22/09/2025 00:00:00;;;;;;;;;;VACHES;BLD -10A+350KG;E;;;;
1;AGEN;17/09/2025 00:00:00;;;;;;;;;;VACHES;BLD -10A+350KG;U;;;;;ARRAS;18/09/2025 00:00:00;;;;;;;;;;VACHES;BLD -10A+350KG;U;;;;;BOURG-EN-BRESSE;23/09/2025 00:00:00;;;;;;;;;;VACHES;BLD -10A+350KG;U;;;;;CHOLET;22/09/2025 00:00:00;;;;;;;;;;VACHES;BLD -10A+350KG;U;;;;
1;AGEN;17/09/2025 00:00:00;;;;;;;;;;VACHES;BLD -10A+350KG;R;;;;;ARRAS;18/09/2025 00:00:00;;;;;;;;;;VACHES;BLD -10A+350KG;R;;;;;BOURG-EN-BRESSE;23/09/2025 00:00:00;;;;;;;;;;VACHES;BLD -10A+350KG;R;;;;;CHOLET;22/09/2025 00:00:00;;;;;;;;;;VACHES;BLD -10A+350KG;R;;;;
1;AGEN;17/09/2025 00:00:00;;;;;;;;;;VACHES;CHA -10A+350KG;U;;;;;ARRAS;18/09/2025 00:00:00;;;;;;;;;;VACHES;CHA -10A+350KG;U;;;;;BOURG-EN-BRESSE;23/09/2025 00:00:00;;;;;;;;;;VACHES;CHA -10A+350KG;U;;;;;CHOLET;22/09/2025 00:00:00;;;;;;;;;;VACHES;CHA -10A+350KG;U;;;;
1;AGEN;17/09/2025 00:00:00;;;;;;;;;;VACHES;CHA -10A+350KG;R;;;;;ARRAS;18/09/2025 00:00:00;;;;;;;;;;VACHES;CHA -10A+350KG;R;;;;;BOURG-EN-BRESSE;23/09/2025 00:00:00;;;;;;;;;;VACHES;CHA -10A+350KG;R;;;;;CHOLET;22/09/2025 00:00:00;;;;;;;;;;VACHES;CHA -10A+350KG;R;;;;
1;AGEN;17/09/2025 00:00:00;;;;;;;;;;VACHES;LIM -10A+350KG;U;;;;;ARRAS;18/09/2025 00:00:00;;;;;;;;;;VACHES;LIM -10A+350KG;U;;;;;BOURG-EN-BRESSE;23/09/2025 00:00:00;;;;;;;;;;VACHES;LIM -10A+350KG;U;;;;;CHOLET;22/09/2025 00:00:00;;;;;;;;;;VACHES;LIM -10A+350KG;U;;;;
