OVINS DE BOUCHERIE
COTATIONS NATIONALES ET REGIONALES DES AGNEAUX ET BREBIS DE BOUCHERIE POUR LES ETATS D'ENGRAISSEMENT 2, 3 ET 4
EN EURO
SEMAINE N° 43 DU 20/10/2025 AU 26/10/2025

Prix "entrée abattoir" HT exprimé en EURO/Kg de carcasse (cinquième quartier inclus) frais de transport inclus
AGNEAUX
ETAT ENGRAISSEMENT;CONFORMATION;ZONE NORD;;;;ZONE SUD;;;;MOYENNES REGIONS
;;13 A 16 KG;16 A 19 KG;19 A 22 KG;+ de 22 KG;13 A 16 KG;16 A 19 KG;19 A 22 KG;+ de 22 KG;13 A 16 KG;16 A 19 KG;19 A 22 KG;+ de 22 KG
2 (CIRÉ);U;;8,97;8,92;8,13;;;;;;8,97;8,93;8,14
2 (CIRÉ);U;;0,03;0;-0,04;;;;;;0,03;0;-0,05
2 (CIRÉ);R;8,45;8,67;8,70;;;9,34;;;8,74;8,82;8,76;
2 (CIRÉ);R;0,07;-0,02;0,02;;;0,03;;;0,13;0;0;
2 (CIRÉ);O;;;;;;;;;8,49;;;
2 (CIRÉ);O;;;;;;;;;;;;
3 (COUVERT);U;;9,04;8,96;8,16;;;9,32;8,30;;9,07;9,06;8,22
3 (COUVERT);U;;0;-0,07;-0,08;;;0,20;0,13;;0,03;0,01;0
3 (COUVERT);R;;8,69;8,73;8,43;9,60;9,49;9,11;8,12;9,47;9,35;9,02;8,22
3 (COUVERT);R;;0,05;0,10;0,40;0,17;0,09;0,06;-0,02;0,24;0,13;0,10;0,12
3 (COUVERT);O;;;;;9,19;8,93;8,43;;9,15;8,90;8,43;
3 (COUVERT);O;;;;;0;0,04;-0,05;;0,07;0,09;0;
4 (GRAS);U;;;;;;;;;;;;7,84
4 (GRAS);U;;;;;;;;;;;;
4 (GRAS);R;;;;;;8,98;8,69;;;8,94;8,56;
4 (GRAS);R;;;;;;-0,01;0;;;0,04;0,09;
4 (GRAS);O;;;;;;;;;;;;
4 (GRAS);O;;;;;;;;;;;;
BREBIS
ETAT ENGRAISSEMENT;CONFORMATION;ZONE NORD;;ZONE SUD;;MOYENNES REGIONS
;;- de 30 KG;+ de 30 KG;- de 30 KG;+ de 30 KG;- de 30 KG;+ de 30 KG
2 (CIRÉ);U;;;;;;
2 (CIRÉ);U;;;;;;
2 (CIRÉ);R;;;;;;
2 (CIRÉ);R;;;;;;
2 (CIRÉ);O;;;;;;
2 (CIRÉ);O;;;;;;
3 (COUVERT);U;;;;;;
3 (COUVERT);U;;;;;;
3 (COUVERT);R;;;;;;
3 (COUVERT);R;;;;;;
3 (COUVERT);O;;;;;;
3 (COUVERT);O;;;;;;
4 (GRAS);U;;;;;;
4 (GRAS);U;;;;;;
4 (GRAS);R;;;;;;
4 (GRAS);R;;;;;;
4 (GRAS);O;;;;;;
4 (GRAS);O;;;;;;


1;ZONE NORD;LA MOROSITÉ DU COMMERCE EN AVAL ENTRAÎNE DU REPORT D'ABATTAGE ET PAR CONSÉQUENT UN ALOURDISSEMENT DES CARCASSES.;
2;ZONE SUD;APPLICATION DU RÉSEAU.;
