VEAUX DE BOUCHERIE
COTATION DES VEAUX DE BOUCHERIE ENTREE-ABATTOIR
EN EURO
SEMAINE N° 41 DU 07/10/2024 AU 13/10/2024

Prix "entrée abattoir" HT exprimé en EURO/Kg de carcasse (cinquième quartier compris)
REGIONS;;BLANC;;;;;ROSE TRES CLAIR;;;;;ROSE CLAIR;;;;;ROSE;;;;;ROUGE;;;;
;;E;U;R;O;P;E;U;R;O;P;E;U;R;O;P;E;U;R;O;P;E;U;R;O;P
NORD;;;;;;;;;7,56;;;;8,16;7,50;7,34;6,51;;;5,60;5,38;5,09;;;;;
NORD;Var.;;;;;;;;0,04;;;;0,11;0,08;0,10;0,11;;;0;0;0;;;;;
SUD;;;;;;;;10,44;7,73;;;;8,94;7,59;7,24;6,59;;7,41;6,75;6,42;5,92;;;;;
SUD;Var.;;;;;;;0,09;0,21;;;;0,11;0,02;0,16;0,16;;;-0,05;0,09;0,16;;;;;
COTATION NATIONALE;;;;;;;;10,44;7,67;;;;8,62;7,54;7,30;6,54;;7,41;6,14;5,76;5,39;;;;;
COTATION NATIONALE;Var.;;;;;;;0,09;0,15;;;;0,07;0,04;0,11;0,13;;;0,16;0,20;0,06;;;;;

PRIX MOYEN PONDERE AUX 100 KG VIF;;PRIX MOYEN PONDERE AUX 100 KG NET DES VEAUX CLAIRS
Cot;Var;Cot;Var
708,700;15,900;748,100;7,300



Seules les catégories dont la pondération est égale à 1.00 sont retenues dans le calcul du PMP
